A2cp1_0353 ,Anaeromyxobacter dehalogenans 2CP-1,A2cp1_0353,JGI locus tag
A2cp1_0355 ,Anaeromyxobacter dehalogenans 2CP-1,A2cp1_0355,JGI locus tag
AB194705 ,Desulfitobacterium sp. KBC1,AB194705,NCBI Accession
AB194706 ,Desulfitobacterium sp. KBC1 (prdA),AB194706,NCBI Accession
ACP_0433 ,Acidobacterium capsulatum,ACP_0433,JGI locus tag
ACT3-rdh01,Dehalobacter CF (cfrA),AFV05253,NCBI Accession
ACT3-rdh02,Dehalobacter DCA (dcrA),AFV02209,NCBI Accession
ACT3-rdh03,Dehalobacter CF,AFV06361,NCBI Accession
ACT3-rdh04,Dehalobacter CF,AFV06212,NCBI Accession
ACT3-rdh05,Dehalobacter CF,AFV06391,NCBI Accession
ACT3-rdh06,Dehalobacter CF,AFV05217,NCBI Accession
ACT3-rdh07,Dehalobacter CF,AFV05214,NCBI Accession
ACT3-rdh08,Dehalobacter CF,AFV05205,NCBI Accession
ACT3-rdh09,Dehalobacter DCA,AFV02160,NCBI Accession
ACT3-rdh10,Dehalobacter CF,AFV05983,NCBI Accession
ACT3-rdh11,Dehalobacter CF,AFV05981,NCBI Accession
ACT3-rdh12,Dehalobacter CF,AFV05683,NCBI Accession
ACT3-rdh13,Dehalobacter CF,AFV05674,NCBI Accession
ACT3-rdh14,Dehalobacter CF,AFV04610,NCBI Accession
ACT3-rdh15,Dehalobacter CF,AFV06370,NCBI Accession
ACT3-rdh16,Dehalobacter CF,AFV06369,NCBI Accession
ACT3-rdh17,Dehalobacter CF,AFV06381,NCBI Accession
ACT3-rdh18,Dehalobacter CF,AFV06387,NCBI Accession
ACT3-rdh19,Dehalobacter CF,AFV06377,NCBI Accession
Adeh_0329 ,Anaeromyxobacter dehalogenans 2CP-C,3886157,NCBI Gene ID
Adeh_0331 ,Anaeromyxobacter dehalogenans 2CP-C,3886159,NCBI Gene ID
AF022812 ,Sulfurospirillum multivorans,AF022812,NCBI Accession
AF115542 ,Desulfitobacterium dehalogenans ATCC 51507 (cprA),AF115542,NCBI Accession
AF204275 ,Desulfitobacterium chlororespirans,AF204275,NCBI Accession
AF259790 ,Desulfitobacterium sp. PCE1,AF259790,NCBI Accession
AF259791 ,Desulfitobacterium sp. Viet-1,AF259791,NCBI Accession
AGWLrdhA1 ,Dehalobacter WL (dcrA),FJ010189,NCBI Accession
AJ439607,Dehalobacter restrictus DSM 9455 (pceA),AJ439607,NCBI Accession
AJ539533 ,Dehalobacter restrictus DSM 9455,AJ539533,NCBI Accession
AM183918 ,Desulfitobacterium dichloroeliminans LMG P-21439 (dcaA),AM183918,NCBI Accession
AnaeK_0341 ,Anaeromyxobacter dehalogenans K,6786349,NCBI Gene ID
AnaeK_0343 ,Anaeromyxobacter dehalogenans K ,6786351,NCBI Gene ID
AY013360 ,Desulfitobacterium sp. PCE1,AY013360,NCBI Accession
AY013361 ,Desulfitobacterium sp. PCE1,AY013361,NCBI Accession
AY013362 ,Desulfitobacterium hafniense TCE1,AY013362,NCBI Accession
AY013363 ,Desulfitobacterium dehalogenans,AY013363,NCBI Accession
AY013364 ,Desulfitobacterium hafniense PCP-1,AY013364,NCBI Accession
AY013365 ,Desulfitobacterium hafniense DCB-2,AY013365,NCBI Accession
AY013366 ,Desulfitobacterium hafniense DCB-2,AY013366,NCBI Accession
AY013367 ,Sulfurospirillum halorespirans PCE-M2,AY013367,NCBI Accession
AY165309 ,Dehalococcoides mccartyi FL2,AY165309,NCBI Accession
AY216592 ,Desulfitobacterium sp. PCE-S,AY216592,NCBI Accession
AY349165 ,Desulfitobacterium hafniense PCP-1 (cprA),AY349165,NCBI Accession
AY374245 ,Dehalococcoides mccartyi FL2,AY374245,NCBI Accession
AY374246 ,Dehalococcoides mccartyi FL2,AY374246,NCBI Accession
AY374247 ,Dehalococcoides mccartyi FL2,AY374247,NCBI Accession
AY374248 ,Dehalococcoides mccartyi FL2,AY374248,NCBI Accession
AY374249 ,Dehalococcoides mccartyi FL2,AY374249,NCBI Accession
